Dataset	Language	System	ExperimentURI	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290037	0.005789261394642561	0.1639200721197271	0.005319148936170213	0.1633586115662892	0.006350528343136745	0.1990597952596719	0.3256005219717783	2022-09-29 21:41:42
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290038	0.00121977782618166	0.1450535027844421	0.0037393162393162395	0.14493390107238935	7.287491541304461E-4	0.15712535014005602	0.27076199691410946	2022-09-29 23:41:59
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290039	0.005671315745252899	0.1538755325290111	0.0047540233123217245	0.15237383486307107	0.007027223986257873	0.1976961370512905	0.3223834233939958	2022-09-29 23:42:02
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300000	1.2272197336933178E-4	0.1433832774905511	1.494433236195173E-4	0.14297431857104284	1.0410702201863516E-4	0.14705882352941177	0.25466820283756686	2022-09-30 00:59:15
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300001	0.005051559303636288	0.15473944451198016	0.00421676250217808	0.1548579104407694	0.006298474832127427	0.17995771984532763	0.3004784237200891	2022-09-30 01:28:20
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300002	0.05196431366411019	0.24660536467705688	0.03714893140875014	0.26098184971058347	0.08643582400416558	0.2880729411445393	0.33052390744750204	2022-09-30 02:18:26
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300003	0.003761478039606151	0.23626758238487122	0.0032704886494805694	0.24416808018472286	0.0044259307472012495	0.25761838153943417	0.3976116197082486	2022-09-30 03:02:33
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300004	5.198856251624643E-4	0.24	0.16666666666666666	0.24	2.603488674824265E-4	0.24	0.38557377049180325	2022-09-30 03:19:35
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300005	0.0034741268970561344	0.2624127910603807	0.0026771875440326897	0.27056527558326826	0.004946628482166103	0.29011838153943414	0.436850975664725	2022-09-30 03:29:37
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300006	0.004091772614350431	0.26811705497290916	0.004663557628247834	0.27059643843709236	0.0036448841447539702	0.2940540540540541	0.4461229932448748	2022-09-30 03:41:39
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300007	0.0015357612988152697	0.22671410050618032	0.0013270142180094786	0.2266906170972534	0.0018224420723769851	0.24033333333333332	0.3793648870691966	2022-09-30 04:02:42
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300008	0.12006245484840716	0.28094136714223766	0.10868739715623814	0.2837039842964217	0.13409682457053618	0.3299445993031349	0.3681578797751189	2022-09-30 04:15:46
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300009	0.00982348426707598	0.19307998225800826	0.00777879064114251	0.19607079208681943	0.013326392503904216	0.24849488487196175	0.3835106011111606	2022-09-30 05:08:55
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300010	0.0011846391786501694	0.1378613929451935	0.0016101619107254674	0.1378278213802404	9.370119729307652E-4	0.14367029367029366	0.24980029464353554	2022-09-30 06:38:07
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300011	0.008576806612652426	0.18556237765263103	0.006255222633400979	0.18862656110750267	0.013638729828214471	0.2319126609367966	0.3645873858677912	2022-09-30 06:38:08
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300012	0.010836497679479492	0.17453641034323142	0.009448940866669248	0.1741986593471369	0.012701717855283706	0.20380338282751853	0.3329454139161005	2022-09-30 08:09:22
QALD9PlusTrain-MT_de-babelscape_ner-mgenre_el-mbart_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300013	0.008204438466711499	0.1648430805910271	0.006059101067792401	0.16471980037860248	0.012701717855283706	0.20093687996101564	0.3268073118821017	2022-09-30 08:26:25
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300014	0.07533843437316068	0.21081462513321014	0.044290657439446365	0.20377873247828404	0.25196850393700787	0.2444991789819376	0.2626786606000271	2022-09-30 09:41:33
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300015	0.010081613058089295	0.4028564290872437	0.005368098159509203	0.401516454164797	0.08267716535433071	0.4740229885057471	0.6064404175829098	2022-09-30 10:04:36
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300016	0.0078125	0.4	0.5	0.4	0.003937007874015748	0.4	0.5647058823529413	2022-09-30 10:15:38
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300017	0.0017809439002671413	0.3661538461538461	0.001004016064257028	0.4	0.007874015748031496	0.3633333333333333	0.5209350649350649	2022-09-30 10:15:38
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300018	8.904719501335707E-4	0.36	5.02008032128514E-4	0.36	0.003937007874015748	0.36	0.5109677419354838	2022-09-30 10:24:39
QALD9Plus-MT_fr-spacy_ner-mgenre_el-libre_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300019	8.904719501335707E-4	0.36	5.02008032128514E-4	0.36	0.003937007874015748	0.36	0.5109677419354838	2022-09-30 10:25:39
QALD9PlusTrain-MT_de-flair_ner-mgenre_el-mbart_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300020	0.1393029519212821	0.2826985702334805	0.14280247116068012	0.28551499486982973	0.1359708485163977	0.33270098833518985	0.3808231381903652	2022-09-30 10:31:41
