Dataset	System	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp	ExperimentURI
QALD9PlusTrain-MT_fr-davlan_ner-mgenre_el-opus_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.01137419409	0.1850311517	0.01185237341	0.1835213484	0.0109331024	0.2047054475	0.3322320141	2022-09-29 20:40:28	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290035
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.05273225933	0.2556801564	0.04731574158	0.2574537136	0.05954921659	0.2954206131	0.3305263711	2022-09-29 21:19:35	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290036
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.005789261395	0.1639200721	0.005319148936	0.1633586116	0.006350528343	0.1990597953	0.325600522	2022-09-29 21:41:42	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290037
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	0.001219777826	0.1450535028	0.003739316239	0.1449339011	7.29E-04	0.1571253501	0.2707619969	2022-09-29 23:41:59	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290038
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.005671315745	0.1538755325	0.004754023312	0.1523738349	0.007027223986	0.1976961371	0.3223834234	2022-09-29 23:42:02	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290039
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	1.23E-04	0.1433832775	1.49E-04	0.1429743186	1.04E-04	0.1470588235	0.2546682028	2022-09-30 00:59:15	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300000
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-libre_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.005051559304	0.1547394445	0.004216762502	0.1548579104	0.006298474832	0.1799577198	0.3004784237	2022-09-30 01:28:20	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300001
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.05196431366	0.2466053647	0.03714893141	0.2609818497	0.086435824	0.2880729411	0.3305239074	2022-09-30 02:18:26	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300002
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.00376147804	0.2362675824	0.003270488649	0.2441680802	0.004425930747	0.2576183815	0.3976116197	2022-09-30 03:02:33	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300003
QALD9Plus-MT_de-davlan_ner-mag_el-nllb_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	5.20E-04	0.24	0.1666666667	0.24	2.60E-04	0.24	0.3855737705	2022-09-30 03:19:35	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209300004
